学生姓名,学号,性别,专业,班级,比赛名称,赛事级别,获奖级别
李四,220221090908,男,计算机科学与技术,计科2201,河北省大学生程序设计竞赛,C,C
张三,220241090304,男,计算机科学与技术,计科2401,河北省大学生程序设计竞赛,C,C
王五,220261090904,男,软件工程,软件2601,河北省大学生程序设计竞赛,C,D
赵四,220201191402,女,智能科学,智科2020,蓝桥杯全国软件和信息技术专业人才大赛,D,B
王起,220271090914,男,软件工程,软件2701,河北省大学生程序设计竞赛,C,E
王起,220271090914,男,软件工程,软件2701,蓝桥杯全国软件和信息技术专业人才大赛,D,A
张三,220241090304,男,计算机科学与技术,计科2406,蓝桥杯全国软件和信息技术专业人才大赛,D,B
刘六,220241190404,女,智能科学,智科2403,蓝桥杯全国软件和信息技术专业人才大赛,D,B
陈氏,220231090905,男,计算机科学与技术,计科2301,河北省大学生程序设计竞赛,C,C
梅花,220221040304,女,网络工程,网络2201,河北省大学生程序设计竞赛,C,C
杨树,220231190903,男,软件工程,软件2301,河北省大学生程序设计竞赛,C,D
祁山,220251191412,男,智能科学,智科2020,蓝桥杯全国软件和信息技术专业人才大赛,D,B
刘峰,220231040911,男,软件工程,软件2301,河北省大学生程序设计竞赛,C,E
苏齐,220231090112,女,信息安全,信安2301,蓝桥杯全国软件和信息技术专业人才大赛,D,A
黄蓉,220251091307,女,计算机科学与技术,计科2506,蓝桥杯全国软件和信息技术专业人才大赛,D,B
刘六,220241190404,女,智能科学,智科2403,计算机设计大赛,B,B
